,Quarter,Tm,Detail,GNB,NYG
0,1.0,Packers,Nolan Luhn 29 yard pass from Jack Jacobs (Ward Cuff kick),7,0
1,1.0,Giants,Tex Coulter 15 yard pass from Paul Governali (Ken Strong kick),7,7
2,1.0,Giants,Jim Blumenstock 1 yard rush (Ken Strong kick),7,14
3,2.0,Packers,Ward Cuff 22 yard field goal,10,14
4,2.0,Giants,Ken Strong 27 yard field goal,10,17
5,3.0,Giants,Ray Poole 7 yard pass from Paul Governali (Ken Strong kick),10,24
6,3.0,Packers,Jim Gillette 27 yard pass from Jack Jacobs (Ward Cuff kick),17,24
7,4.0,Packers,Nolan Luhn 23 yard pass from Jack Jacobs (Ward Cuff kick),24,24
