,Quarter,Time,Tm,Detail,NYJ,NWE
0,1,,Patriots,Ben Coates 32 yard pass from Drew Bledsoe (Adam Vinatieri kick),0,7
1,1,,Jets,Neil O'Donnell 2 yard rush (John Hall kick),7,7
2,1,,Patriots,Curtis Martin 2 yard rush (Adam Vinatieri kick),7,14
3,2,,Jets,John Hall 26 yard field goal,10,14
4,3,,Jets,Mo Lewis 43 yard interception return (John Hall kick),17,14
5,3,,Patriots,Adam Vinatieri 33 yard field goal,17,17
6,4,,Patriots,Lovett Purnell 10 yard pass from Drew Bledsoe (Adam Vinatieri kick),17,24
7,4,,Jets,Keyshawn Johnson 24 yard pass from Neil O'Donnell (John Hall kick),24,24
8,OT,,Patriots,Adam Vinatieri 34 yard field goal,24,27
