,Quarter,Tm,Detail,SEA,RAI
0,1.0,Seahawks,John Williams 14 yard pass from Dave Krieg (Norm Johnson kick),7,0
1,2.0,Raiders,Jeff Jaeger 45 yard field goal,7,3
2,2.0,Raiders,Lionel Washington 37 yard defensive fumble return (Jeff Jaeger kick),7,10
3,3.0,Raiders,Mervyn Fernandez 36 yard pass from Jay Schroeder (Jeff Jaeger kick),7,17
4,4.0,Seahawks,Curt Warner 6 yard rush (Norm Johnson kick),14,17
5,4.0,Seahawks,Brian Blades 19 yard pass from Dave Krieg (Norm Johnson kick),21,17
6,4.0,Raiders,Jeff Jaeger 28 yard field goal,21,20
7,4.0,Seahawks,Norm Johnson 48 yard field goal,24,20
