,Quarter,Time,Tm,Detail,PHI,ATL
0,1.0,13:26,Eagles,David Akers 21 yard field goal,3,0
1,1.0,5:03,Eagles,Freddie Mitchell 37 yard pass from Donovan McNabb (David Akers kick),10,0
2,2.0,12:52,Falcons,T.J. Duckett 1 yard rush (Jay Feely kick),10,7
3,2.0,3:14,Falcons,Jay Feely 40 yard field goal,10,10
4,2.0,0:38,Falcons,Jay Feely 25 yard field goal,10,13
5,3.0,10:33,Eagles,David Akers 25 yard field goal,13,13
6,4.0,14:09,Eagles,Duce Staley 4 yard rush (David Akers kick),20,13
7,4.0,7:46,Eagles,David Akers 40 yard field goal,23,13
8,4.0,5:18,Falcons,Jay Feely 46 yard field goal,23,16
