,Quarter,Time,Tm,Detail,ARI,TEN
0,1.0,10:33,Titans,Rob Bironas 52 yard field goal,0,3
1,2.0,13:28,Titans,Rob Bironas 24 yard field goal,0,6
2,2.0,1:55,Cardinals,Neil Rackers 41 yard field goal,3,6
3,3.0,3:37,Titans,Chris Johnson 85 yard rush (Rob Bironas kick),3,13
4,3.0,3:25,Cardinals,LaRod Stephens-Howling 99 yard kickoff return (Neil Rackers kick),10,13
5,4.0,12:20,Cardinals,Tim Hightower 6 yard rush (Neil Rackers kick),17,13
6,4.0,0:00,Titans,Kenny Britt 10 yard pass from Vince Young (Rob Bironas kick),17,20
