,Quarter,Tm,Detail,ATL,NOR
0,2.0,Saints,Morten Andersen 20 yard field goal,0,3
1,4.0,Falcons,George Thomas 51 yard pass from Chris Miller (Greg Davis kick),7,3
2,4.0,Saints,Eric Martin 6 yard pass from Steve Walsh (Morten Andersen kick),7,10
