,Quarter,Tm,Detail,OAK,KAN
0,1.0,Chiefs,Ted McKnight 7 yard rush (Nick Lowery kick),0,7
1,1.0,Raiders,Bob Chandler 16 yard pass from Dan Pastorini (Chris Bahr kick),7,7
2,3.0,Raiders,Mark van Eeghen 1 yard rush (Chris Bahr kick),14,7
3,3.0,Raiders,Bob Chandler 32 yard pass from Dan Pastorini (Chris Bahr kick),21,7
4,4.0,Raiders,Chris Bahr 41 yard field goal,24,7
5,4.0,Chiefs,Tony Samuels 4 yard pass from Steve Fuller (Nick Lowery kick),24,14
6,4.0,Raiders,Chris Bahr 39 yard field goal,27,14
