,Quarter,Tm,Detail,MIN,TAM
0,1.0,Buccaneers,Michael Husted 26 yard field goal,0,3
1,2.0,Buccaneers,Michael Husted 54 yard field goal,0,6
2,2.0,Vikings,Anthony Carter 2 yard pass from Sean Salisbury (Fuad Reveiz kick),7,6
3,3.0,Buccaneers,Milton Mack 27 yard interception return (Michael Husted kick),7,13
4,3.0,Buccaneers,Michael Husted 21 yard field goal,7,16
5,3.0,Vikings,Fuad Reveiz 43 yard field goal,10,16
6,4.0,Buccaneers,Vince Workman 1 yard rush (Michael Husted kick),10,23
