,Quarter,Time,Tm,Detail,IND,CHI
0,1.0,14:46,Bears,Devin Hester 92 yard kickoff return (Robbie Gould kick),0,7
1,1.0,6:50,Colts,Reggie Wayne 53 yard pass from Peyton Manning (Adam Vinatieri kick failed),6,7
2,1.0,4:34,Bears,Muhsin Muhammad 4 yard pass from Rex Grossman (Robbie Gould kick),6,14
3,2.0,11:17,Colts,Adam Vinatieri 29 yard field goal,9,14
4,2.0,6:09,Colts,Dominic Rhodes 1 yard rush (Adam Vinatieri kick),16,14
5,3.0,7:26,Colts,Adam Vinatieri 24 yard field goal,19,14
6,3.0,3:16,Colts,Adam Vinatieri 20 yard field goal,22,14
7,3.0,1:14,Bears,Robbie Gould 44 yard field goal,22,17
8,4.0,11:44,Colts,Kelvin Hayden 56 yard interception return (Adam Vinatieri kick),29,17
