,Quarter,Tm,Detail,CHI,GNB
0,1.0,Packers,Clint Didier 24 yard pass from Don Majkowski (Chris Jacke kick),0,7
1,1.0,Bears,Kevin Butler 25 yard field goal,3,7
2,3.0,Bears,Kevin Butler 37 yard field goal,6,7
3,3.0,Bears,Brad Muster 2 yard rush (Kevin Butler kick),13,7
4,4.0,Packers,Sterling Sharpe 14 yard pass from Don Majkowski (Chris Jacke kick),13,14
