,Quarter,Tm,Detail,DAL,PIT
0,1.0,Steelers,John Henry Johnson 1 yard rush (Lou Michaels kick),0,7
1,2.0,Steelers,Lou Michaels 28 yard field goal,0,10
2,2.0,Cowboys,Don Perkins 11 yard rush (Allen Green kick),7,10
3,2.0,Steelers,Lou Michaels 19 yard field goal,7,13
4,2.0,Steelers,Buddy Dial 73 yard pass from Rudy Bukich (Lou Michaels kick),7,20
5,3.0,Steelers,Bill Butler 71 yard interception return (Lou Michaels kick),7,27
6,4.0,Steelers,Buddy Dial 15 yard pass from Rudy Bukich (Lou Michaels kick),7,34
7,4.0,Steelers,Lou Michaels 47 yard field goal,7,37
