,Quarter,Tm,Detail,CLE,CIN
0,2.0,Bengals,James Francis 17 yard interception return (Jim Breech kick),0,7
1,2.0,Bengals,Rodney Holman 22 yard pass from Boomer Esiason (Jim Breech kick),0,14
2,3.0,Browns,Kevin Mack 2 yard rush (Jerry Kauric kick),7,14
3,3.0,Browns,Brian Brennan 16 yard pass from Mike Pagel (Jerry Kauric kick),14,14
4,4.0,Bengals,Eric Ball 4 yard pass from Boomer Esiason (Jim Breech kick),14,21
