,Quarter,Tm,Detail,OAK,PHI
0,1.0,Raiders,Cliff Branch 2 yard pass from Jim Plunkett (Chris Bahr kick),7,0
1,1.0,Raiders,Kenny King 80 yard pass from Jim Plunkett (Chris Bahr kick),14,0
2,2.0,Eagles,Tony Franklin 30 yard field goal,14,3
3,3.0,Raiders,Cliff Branch 29 yard pass from Jim Plunkett (Chris Bahr kick),21,3
4,3.0,Raiders,Chris Bahr 46 yard field goal,24,3
5,4.0,Eagles,Keith Krepfle 8 yard pass from Ron Jaworski (Tony Franklin kick),24,10
6,4.0,Raiders,Chris Bahr 35 yard field goal,27,10
