,Quarter,Time,Tm,Detail,NYG,IND
0,1.0,8:11,Giants,Saquon Barkley 1 yard rush (Aldrick Rosas kick),7,0
1,1.0,1:41,Giants,Scott Simonson 3 yard pass from Eli Manning (Aldrick Rosas kick),14,0
2,2.0,4:09,Colts,Nyheim Hines 1 yard rush (Adam Vinatieri kick),14,7
3,2.0,1:10,Giants,Aldrick Rosas 40 yard field goal,17,7
4,3.0,7:38,Colts,Dontrelle Inman 2 yard pass from Andrew Luck (Adam Vinatieri kick),17,14
5,3.0,3:42,Giants,Eli Manning 1 yard rush (Aldrick Rosas kick),24,14
6,3.0,0:32,Colts,Marlon Mack 3 yard rush (Adam Vinatieri kick),24,21
7,4.0,9:20,Giants,Aldrick Rosas 27 yard field goal,27,21
8,4.0,0:55,Colts,Chester Rogers 1 yard pass from Andrew Luck (Adam Vinatieri kick),27,28
