,Quarter,Tm,Detail,ATL,RAM
0,1.0,Rams,Larry Smith 1 yard rush (Bruce Gossett kick),0,7
1,2.0,Rams,Wendell Tucker 4 yard pass from Roman Gabriel (Bruce Gossett kick),0,14
2,2.0,Rams,Bruce Gossett 16 yard field goal,0,17
3,4.0,Falcons,Gail Cogdill 25 yard pass from Bob Berry (Bob Etter kick),7,17
