,Quarter,Tm,Detail,STL,PHI
0,2.0,Eagles,Nick Mike-Mayer 25 yard field goal,0,3
1,2.0,Cardinals,Jim Otis 7 yard rush,6,3
2,2.0,Eagles,Harold Carmichael 33 yard pass from Ron Jaworski (Nick Mike-Mayer kick),6,10
3,2.0,Cardinals,Dave Stief 55 yard pass from Jim Hart (Jim Bakken kick),13,10
4,4.0,Cardinals,Jim Bakken 31 yard field goal,16,10
