,Quarter,Tm,Detail,CHI,DET
0,1.0,Bears,Dennis McKinnon 11 yard pass from Jim McMahon (Kevin Butler kick),7,0
1,2.0,Bears,Neal Anderson 1 yard rush (Kevin Butler kick),14,0
2,2.0,Bears,Kevin Butler 37 yard field goal,17,0
3,3.0,Lions,Pete Mandley 7 yard pass from Rusty Hilger (Eddie Murray kick),17,7
4,4.0,Bears,Ron Morris 31 yard pass from Mike Tomczak (Kevin Butler kick),24,7
