,Quarter,Tm,Detail,BOS,PRV
0,1.0,Steam Roller,Pop Williams 12 yard rush (Jack McBride kick),0,7
1,2.0,Steam Roller,Gibby Welch 33 yard pass from Jack McBride (Jack McBride kick),0,14
2,4.0,Steam Roller,Pop Williams 32 yard pass from Wildcat Wilson,0,20
3,4.0,Bulldogs,Tony Latone unknown yard rush,6,20
