,Quarter,Tm,Detail,OOR,MIN
0,2,Indians,Joe Guyon 5 yard rush,6,0
1,3,Marines,Marty Norton 22 yard rush (Bill Irgens kick),6,7
2,4,Marines,Marty Norton 19 yard rush,6,13
