,Quarter,Tm,Detail,NYG,NYJ
0,1.0,Jets,Pat Leahy 41 yard field goal,0,3
1,1.0,Jets,Mickey Shuler 5 yard pass from Ken O'Brien (Pat Leahy kick),0,10
2,2.0,Jets,Pat Leahy 20 yard field goal,0,13
3,2.0,Giants,Stephen Baker 5 yard pass from Phil Simms (Paul McFadden kick),7,13
4,3.0,Jets,Freeman McNeil 6 yard rush (Pat Leahy kick),7,20
5,3.0,Giants,Stephen Baker 9 yard pass from Phil Simms (Paul McFadden kick),14,20
6,4.0,Giants,Lionel Manuel 9 yard pass from Phil Simms (Paul McFadden kick),21,20
7,4.0,Jets,Al Toon 5 yard pass from Ken O'Brien (Pat Leahy kick),21,27
