,Quarter,Tm,Detail,MIA,BAL
0,3,Dolphins,Mercury Morris 3 yard rush (Garo Yepremian kick),7,0
1,4,Colts,Lydell Mitchell 6 yard rush (Toni Linhart kick),7,7
2,OT,Colts,Toni Linhart 31 yard field goal,7,10
