,Quarter,Tm,Detail,OAK,PIT
0,1.0,Steelers,Henry Davis 5 yard blocked punt return (Roy Gerela kick),0,7
1,1.0,Steelers,Terry Bradshaw 20 yard rush (Roy Gerela kick),0,14
2,2.0,Steelers,Roy Gerela 48 yard field goal,0,17
3,2.0,Raiders,Raymond Chester 26 yard pass from George Blanda (George Blanda kick),7,17
4,3.0,Steelers,Roy Gerela 8 yard field goal,7,20
5,3.0,Steelers,Terry Bradshaw 2 yard rush (Roy Gerela kick),7,27
6,4.0,Raiders,Mike Siani 24 yard pass from Daryle Lamonica (George Blanda kick),14,27
7,4.0,Steelers,Ron Shanklin 57 yard pass from Terry Bradshaw (Roy Gerela kick),14,34
8,4.0,Raiders,Don Highsmith 1 yard rush (George Blanda kick),21,34
9,4.0,Raiders,Mike Siani 70 yard pass from Daryle Lamonica (George Blanda kick),28,34
