,Quarter,Tm,Detail,BUF,BAL
0,1.0,Colts,Lydell Mitchell 5 yard rush (Toni Linhart kick),0,7
1,1.0,Bills,George Jakowenko 28 yard field goal,3,7
2,2.0,Colts,Toni Linhart 24 yard field goal,3,10
3,2.0,Colts,Glenn Doughty 7 yard pass from Bert Jones (Toni Linhart kick),3,17
4,2.0,Bills,George Jakowenko 34 yard field goal,6,17
5,2.0,Colts,Toni Linhart 22 yard field goal,6,20
6,3.0,Colts,Roger Carr 36 yard pass from Bert Jones (Toni Linhart kick),6,27
7,3.0,Colts,Raymond Chester 26 yard pass from Bert Jones (Toni Linhart kick),6,34
8,3.0,Colts,Derrel Luce 21 yard defensive fumble return (Toni Linhart kick),6,41
9,3.0,Bills,O.J. Simpson 44 yard rush (George Jakowenko kick),13,41
10,3.0,Colts,Howard Stevens 3 yard rush (Toni Linhart kick),13,48
11,4.0,Colts,Roosevelt Leaks 1 yard rush (Toni Linhart kick),13,55
12,4.0,Colts,Toni Linhart 36 yard field goal,13,58
13,4.0,Bills,Bob Chandler 14 yard pass from Gary Marangi (George Jakowenko kick),20,58
