,Quarter,Tm,Detail,SFO,ATL
0,1.0,49ers,Vic Washington 98 yard kickoff return (Bruce Gossett kick),7,0
1,1.0,Falcons,Art Malone 2 yard rush (Bill Bell kick),7,7
2,1.0,49ers,Ted Kwalick 10 yard pass from Steve Spurrier (Bruce Gossett kick),14,7
3,2.0,49ers,Ken Willard 1 yard rush (Bruce Gossett kick),21,7
4,2.0,Falcons,Jim Mitchell 40 yard pass from Bob Berry (Bill Bell kick),21,14
5,3.0,49ers,Gene Washington 43 yard pass from Steve Spurrier (Bruce Gossett kick),28,14
6,3.0,49ers,Preston Riley 28 yard pass from Steve Spurrier (Bruce Gossett kick),35,14
7,4.0,49ers,Skip Vanderbundt 37 yard interception return (Bruce Gossett kick),42,14
8,4.0,49ers,Vic Washington 2 yard rush (Bruce Gossett kick),49,14
