,Quarter,Tm,Detail,WAS,DAL
0,1.0,Cowboys,Tony Dorsett 3 yard rush (Rafael Septien kick),0,7
1,2.0,Redskins,Mark Moseley 34 yard field goal,3,7
2,4.0,Redskins,Wilbur Jackson 8 yard rush (Mark Moseley kick),10,7
3,4.0,Cowboys,Larry Cole 43 yard interception return (Rafael Septien kick),10,14
