,Quarter,Tm,Detail,NYG,STL
0,1.0,Cardinals,Al Chandler 5 yard pass from Jim Hart (Jim Bakken kick),0,7
1,2.0,Cardinals,Jim Otis 2 yard rush (Jim Bakken kick),0,14
2,2.0,Cardinals,Jim Otis 1 yard rush,0,20
3,3.0,Giants,Joe Danelo 26 yard field goal,3,20
4,4.0,Giants,Jim Robinson 52 yard pass from Joe Pisarcik (Joe Danelo kick),10,20
