,Quarter,Tm,Detail,BAL,SFO
0,1.0,Colts,Lenny Moore 4 yard rush (Tom Feamster kick),7,0
1,1.0,49ers,Y.A. Tittle 1 yard rush (Gordie Soltau kick),7,7
2,3.0,Colts,Bert Rechichar 43 yard field goal,10,7
3,3.0,49ers,Gordie Soltau 10 yard field goal,10,10
4,3.0,Colts,Raymond Berry 31 yard pass from Johnny Unitas (Tom Feamster kick),17,10
5,4.0,49ers,Y.A. Tittle 1 yard rush (Gordie Soltau kick),17,17
6,4.0,49ers,Joe Arenas 67 yard punt return (Gordie Soltau kick),17,24
7,4.0,49ers,Billy Wilson 17 yard pass from Y.A. Tittle,17,30
