,Quarter,Tm,Detail,STL,PHI
0,1.0,Eagles,Timmy Brown 99 yard field goal return (Bobby Walston kick),0,7
1,2.0,Cardinals,John David Crow 2 yard pass from Sam Etcheverry,6,7
2,2.0,Cardinals,Sonny Randle 68 yard pass from Sam Etcheverry (Gerry Perry kick),13,7
3,2.0,Eagles,Tommy McDonald 11 yard pass from Sonny Jurgensen (Bobby Walston kick),13,14
4,3.0,Cardinals,John David Crow 26 yard rush (Gerry Perry kick),20,14
5,4.0,Cardinals,John David Crow 2 yard rush (Gerry Perry kick),27,14
6,4.0,Eagles,Timmy Brown 1 yard rush (Bobby Walston kick),27,21
