,Quarter,Tm,Detail,BAL,SFO
0,2.0,Colts,Raymond Berry 11 yard pass from Johnny Unitas,6,0
1,2.0,Colts,John Mackey 18 yard pass from Johnny Unitas (Lou Michaels kick),13,0
2,2.0,49ers,Dave Parks 59 yard pass from John Brodie (Tommy Davis kick),13,7
3,3.0,Colts,Jimmy Orr 61 yard pass from Johnny Unitas (Lou Michaels kick),20,7
4,3.0,49ers,Kay McFarland 23 yard pass from John Brodie (Tommy Davis kick),20,14
5,4.0,Colts,Willie Richardson 31 yard pass from Johnny Unitas (Lou Michaels kick),27,14
6,4.0,Colts,Lou Michaels 43 yard field goal,30,14
