,Quarter,Time,Tm,Detail,DET,SFO
0,1.0,,49ers,Ted Popson 1 yard pass from Steve Young (Jeff Wilkins kick),0,7
1,1.0,,Lions,Barry Sanders 54 yard rush (Jason Hanson kick),7,7
2,2.0,,49ers,Derek Loville 1 yard pass from Steve Young (Jeff Wilkins kick),7,14
3,3.0,,49ers,Elvis Grbac 6 yard rush (Jeff Wilkins kick),7,21
4,3.0,,Lions,Herman Moore 5 yard pass from Scott Mitchell (Jason Hanson kick),14,21
5,4.0,,49ers,Jeff Wilkins 49 yard field goal,14,24
