,Quarter,Time,Tm,Detail,LAR,CLE
0,1.0,4:10,Rams,Greg Zuerlein 53 yard field goal,3,0
1,2.0,11:44,Browns,Austin Seibert 23 yard field goal,3,3
2,2.0,0:04,Browns,Austin Seibert 35 yard field goal,3,6
3,3.0,10:44,Rams,Cooper Kupp 11 yard pass from Jared Goff (Greg Zuerlein kick),10,6
4,3.0,4:40,Browns,Demetrius Harris 2 yard pass from Baker Mayfield (Austin Seibert kick),10,13
5,4.0,12:51,Rams,Cooper Kupp 5 yard pass from Jared Goff (Greg Zuerlein kick),17,13
6,4.0,6:40,Rams,Greg Zuerlein 37 yard field goal,20,13
