,Quarter,Time,Tm,Detail,MIA,NYJ
0,1,7:22,Dolphins,Olindo Mare 28 yard field goal,3,0
1,1,5:03,Dolphins,Leslie Shepherd 42 yard pass from Jay Fiedler (Olindo Mare kick),10,0
2,1,3:09,Dolphins,Lamar Smith 68 yard rush (Olindo Mare kick),17,0
3,2,12:57,Dolphins,Olindo Mare 42 yard field goal,20,0
4,2,0:53,Jets,Wayne Chrebet 10 yard pass from Vinny Testaverde (John Hall kick),20,7
5,2,0:02,Dolphins,Olindo Mare 44 yard field goal,23,7
6,3,0:12,Dolphins,Lamar Smith 3 yard rush (Olindo Mare kick),30,7
7,4,13:49,Jets,Laveranues Coles 30 yard pass from Vinny Testaverde (pass failed),30,13
8,4,9:51,Jets,Jermaine Wiggins 1 yard pass from Vinny Testaverde (John Hall kick),30,20
9,4,5:43,Jets,John Hall 34 yard field goal,30,23
10,4,3:55,Jets,Wayne Chrebet 24 yard pass from Vinny Testaverde (John Hall kick),30,30
11,4,3:33,Dolphins,Leslie Shepherd 46 yard pass from Jay Fiedler (Olindo Mare kick),37,30
12,4,0:42,Jets,Jumbo Elliott 3 yard pass from Vinny Testaverde (John Hall kick),37,37
13,OT,8:13,Jets,John Hall 40 yard field goal,37,40
