,Quarter,Time,Tm,Detail,CLE,HOU
0,2.0,,Browns,Keenan McCardell 15 yard pass from Vinny Testaverde (Matt Stover kick),7,0
1,4.0,,Oilers,Haywood Jeffires 4 yard pass from Will Furrer (Al Del Greco kick),7,7
2,4.0,,Browns,Michael Jackson 35 yard pass from Vinny Testaverde (Matt Stover kick),14,7
