,Quarter,Time,Tm,Detail,NYJ,TAM
0,1.0,7:28,Buccaneers,Martin Gramatica 22 yard field goal,0,3
1,1.0,2:11,Jets,John Hall 41 yard field goal,3,3
2,2.0,11:53,Buccaneers,Dave Moore 3 yard pass from Shaun King (Martin Gramatica kick),3,10
3,2.0,1:15,Jets,John Hall 27 yard field goal,6,10
4,3.0,3:47,Buccaneers,Ronde Barber 37 yard interception return (Martin Gramatica kick),6,17
5,4.0,1:54,Jets,Curtis Martin 6 yard pass from Vinny Testaverde (Laveranues Coles pass from Vinny Testaverde),14,17
6,4.0,0:52,Jets,Wayne Chrebet 18 yard pass from Curtis Martin (John Hall kick),21,17
