,Quarter,Time,Tm,Detail,SFO,DAL
0,1.0,,49ers,Jerry Rice 81 yard pass from Elvis Grbac (Jeff Wilkins kick),7,0
1,1.0,,49ers,Merton Hanks 38 yard defensive fumble return (Jeff Wilkins kick),14,0
2,1.0,,49ers,Jeff Wilkins 26 yard field goal,17,0
3,2.0,,49ers,Derek Loville 1 yard rush (Jeff Wilkins kick),24,0
4,2.0,,Cowboys,Emmitt Smith 1 yard rush (Chris Boniol kick),24,7
5,2.0,,49ers,Derek Loville 19 yard pass from Elvis Grbac (Jeff Wilkins kick),31,7
6,3.0,,Cowboys,Chris Boniol 26 yard field goal,31,10
7,3.0,,Cowboys,Chris Boniol 37 yard field goal,31,13
8,4.0,,49ers,Elvis Grbac 1 yard rush (Jeff Wilkins kick),38,13
9,4.0,,Cowboys,Michael Irvin 8 yard pass from Jason Garrett (Chris Boniol kick),38,20
