,Quarter,Time,Tm,Detail,ATL,GNB
0,1.0,8:18,Falcons,Jay Feely 26 yard field goal,3,0
1,1.0,6:19,Falcons,Jay Feely 39 yard field goal,6,0
2,1.0,2:41,Packers,Ryan Longwell 39 yard field goal,6,3
3,2.0,12:51,Falcons,Bob Christian 21 yard pass from Chris Chandler (Jay Feely kick),13,3
4,2.0,4:57,Falcons,Jay Feely 32 yard field goal,16,3
5,2.0,1:52,Packers,Bill Schroeder 4 yard pass from Brett Favre (Ryan Longwell kick),16,10
6,3.0,2:31,Packers,Ryan Longwell 45 yard field goal,16,13
7,4.0,8:49,Falcons,Brian Finneran 12 yard pass from Chris Chandler (Jay Feely kick),23,13
8,4.0,6:31,Packers,Antonio Freeman 39 yard pass from Brett Favre (Ryan Longwell kick),23,20
