,Quarter,Tm,Detail,PHO,NYG
0,1.0,Giants,Stephen Baker 39 yard pass from Phil Simms (Raul Allegre kick),0,7
1,1.0,Giants,Terry Kinard 58 yard interception return (Raul Allegre kick),0,14
2,2.0,Giants,Raul Allegre 22 yard field goal,0,17
3,2.0,Giants,Raul Allegre 38 yard field goal,0,20
4,3.0,Giants,Raul Allegre 32 yard field goal,0,23
5,3.0,Giants,"Safety, Reasons tackled Hogeboom in end zone",0,25
6,4.0,Giants,Ottis Anderson 36 yard rush (Raul Allegre kick),0,32
7,4.0,Giants,Raul Allegre 32 yard field goal,0,35
8,4.0,Cardinals,J.T. Smith 21 yard pass from Gary Hogeboom (Al Del Greco kick),7,35
