,Quarter,Tm,Detail,IND,GNB
0,1,Packers,Vince Workman 1 yard rush (Chris Jacke kick),0,7
1,2,Colts,Dean Biasucci 35 yard field goal,3,7
2,3,Packers,Mike Tomczak 2 yard rush (Chris Jacke kick),3,14
3,4,Colts,Bill Brooks 6 yard pass from Jeff George (Dean Biasucci kick),10,14
