,Quarter,Time,Tm,Detail,DAL,CLE
0,1.0,12:40,Browns,Cody Parkey 31 yard field goal,0,3
1,1.0,6:47,Cowboys,Jason Witten 26 yard pass from Dak Prescott (Dan Bailey kick),7,3
2,2.0,10:02,Cowboys,Ezekiel Elliott 10 yard rush (Dan Bailey kick),14,3
3,2.0,1:50,Cowboys,Cole Beasley 6 yard pass from Dak Prescott (Dan Bailey kick),21,3
4,2.0,0:23,Browns,Terrelle Pryor 12 yard pass from Cody Kessler (Cody Parkey kick),21,10
5,3.0,11:30,Cowboys,Ezekiel Elliott 8 yard rush (Dan Bailey kick),28,10
6,3.0,1:41,Cowboys,Gavin Escobar 2 yard pass from Dak Prescott (Dan Bailey kick),35,10
