,Quarter,Tm,Detail,SEA,RAI
0,1.0,Raiders,Jeff Jaeger 24 yard field goal,0,3
1,2.0,Seahawks,Chris Warren 1 yard rush (John Kasay kick),7,3
2,2.0,Seahawks,"Safety, Stephens tackled Bell in end zone",9,3
3,2.0,Raiders,Jeff Hostetler 4 yard rush (Jeff Jaeger kick),9,10
4,3.0,Raiders,Tim Brown 74 yard punt return (Jeff Jaeger kick),9,17
5,3.0,Raiders,Jeff Jaeger 48 yard field goal,9,20
6,3.0,Raiders,James Jett 56 yard pass from Jeff Hostetler (Jeff Jaeger kick),9,27
7,4.0,Seahawks,Rick Mirer 2 yard rush (John Kasay kick),16,27
8,4.0,Seahawks,Kelvin Martin 7 yard pass from Rick Mirer (John Kasay kick),23,27
