,Quarter,Tm,Detail,KAN,NOR
0,1.0,Saints,Toni Fritsch 19 yard field goal,0,3
1,1.0,Saints,Wayne Wilson 15 yard pass from Guido Merkens (Toni Fritsch kick),0,10
2,2.0,Chiefs,Henry Marshall 44 yard pass from Bill Kenney (Nick Lowery kick),7,10
3,3.0,Saints,George Rogers 1 yard rush (Toni Fritsch kick),7,17
4,4.0,Chiefs,Al Dixon 13 yard pass from Steve Fuller (Nick Lowery kick),14,17
5,4.0,Saints,Jeff Groth 6 yard pass from Ken Stabler (Toni Fritsch kick),14,24
6,4.0,Chiefs,Nick Lowery 35 yard field goal,17,24
7,4.0,Saints,Toni Fritsch 42 yard field goal,17,27
