,Quarter,Tm,Detail,PHI,WAS
0,1.0,Eagles,Jack Banta unknown yard rush (Nick Basca kick),7,0
1,2.0,Redskins,Al Krueger 19 yard pass from Sammy Baugh (Joe Aguirre kick),7,7
2,3.0,Eagles,Hank Piro 6 yard pass from Tommy Thompson (Nick Basca kick),14,7
3,4.0,Redskins,Joe Aguirre 9 yard pass from Sammy Baugh,14,13
4,4.0,Redskins,Joe Aguirre 4 yard pass from Sammy Baugh (Joe Aguirre kick),14,20
