,Quarter,Time,Tm,Detail,HOU,CIN
0,1.0,9:51,Texans,Neil Rackers 46 yard field goal,3,0
1,1.0,4:54,Bengals,Mike Nugent 22 yard field goal,3,3
2,1.0,2:31,Bengals,Mike Nugent 47 yard field goal,3,6
3,2.0,3:02,Bengals,Jerome Simpson 17 yard pass from Andy Dalton (Mike Nugent kick),3,13
4,2.0,0:06,Bengals,Mike Nugent 49 yard field goal,3,16
5,3.0,12:27,Texans,Joel Dreessen 6 yard pass from T.J. Yates (Neil Rackers kick),10,16
6,3.0,2:07,Bengals,Mike Nugent 28 yard field goal,10,19
7,4.0,5:31,Texans,Neil Rackers 33 yard field goal,13,19
8,4.0,0:02,Texans,Kevin Walter 6 yard pass from T.J. Yates (Neil Rackers kick),20,19
