,Quarter,Tm,Detail,MIN,DET
0,2.0,Lions,Errol Mann 29 yard field goal,0,3
1,2.0,Vikings,Chuck Foreman 11 yard rush (Fred Cox kick),7,3
2,4.0,Lions,Errol Mann 40 yard field goal,7,6
