,Quarter,Tm,Detail,SEA,NWE
0,1.0,Patriots,Don Hasselbeck 2 yard pass from Steve Grogan (John Smith kick),0,7
1,2.0,Patriots,Russ Francis 1 yard pass from Steve Grogan (John Smith kick),0,14
2,3.0,Patriots,Don Calhoun 18 yard rush (John Smith kick),0,21
3,3.0,Patriots,John Smith 36 yard field goal,0,24
4,3.0,Patriots,Darryl Stingley 24 yard pass from Steve Grogan (John Smith kick),0,31
