,Quarter,Tm,Detail,SDG,OAK
0,1.0,Raiders,Kenny King 31 yard rush (Chris Bahr kick),0,7
1,1.0,Chargers,John Cappelletti 5 yard rush (Rolf Benirschke kick),7,7
2,2.0,Raiders,Chris Bahr 42 yard field goal,7,10
3,2.0,Chargers,Rolf Benirschke 25 yard field goal,10,10
4,2.0,Raiders,Cliff Branch 43 yard pass from Jim Plunkett (Chris Bahr kick),10,17
5,3.0,Raiders,Mark van Eeghen 3 yard rush (Chris Bahr kick),10,24
6,3.0,Chargers,John Jefferson 25 yard pass from Dan Fouts (Rolf Benirschke kick),17,24
7,4.0,Chargers,Dan Fouts 1 yard rush (Rolf Benirschke kick),24,24
8,4.0,Raiders,Kenny King 89 yard rush (Chris Bahr kick),24,31
9,4.0,Raiders,Todd Christensen special teams fumble recovery in end zone (Chris Bahr kick),24,38
