,Quarter,Time,Tm,Detail,PIT,BAL
0,1.0,1:07,Ravens,Mike Wallace 95 yard pass from Joe Flacco (Justin Tucker kick),0,7
1,2.0,0:03,Ravens,Justin Tucker 49 yard field goal,0,10
2,3.0,4:50,Ravens,Justin Tucker 42 yard field goal,0,13
3,4.0,13:36,Ravens,Chris Moore 14 yard blocked punt return (Steve Smith pass from Joe Flacco),0,21
4,4.0,8:38,Steelers,Antonio Brown 23 yard pass from Ben Roethlisberger (Chris Boswell kick),7,21
5,4.0,0:48,Steelers,Ben Roethlisberger 4 yard rush (Chris Boswell kick),14,21
