,Quarter,Time,Tm,Detail,GNB,CHI
0,2.0,14:56,Packers,Ahman Green 2 yard rush (Ryan Longwell kick),7,0
1,2.0,8:47,Bears,Paul Edinger 32 yard field goal,7,3
2,2.0,4:23,Packers,Antonio Freeman 5 yard pass from Brett Favre (Ryan Longwell kick),14,3
3,3.0,6:03,Packers,Ahman Green 8 yard rush (Ryan Longwell kick),21,3
4,4.0,14:00,Packers,Tyrone Williams 38 yard interception return (Ryan Longwell kick),28,3
5,4.0,9:05,Bears,Paul Edinger 46 yard field goal,28,6
