,Quarter,Tm,Detail,DAL,CLE
0,1.0,Browns,Paul Warfield 48 yard pass from Bill Nelsen (Don Cockroft kick),0,7
1,1.0,Browns,Gary Collins 10 yard pass from Bill Nelsen (Don Cockroft kick),0,14
2,2.0,Browns,Ron Johnson 1 yard rush (Don Cockroft kick),0,21
3,2.0,Cowboys,Mike Clark 14 yard field goal,3,21
4,2.0,Browns,Paul Warfield 21 yard pass from Bill Nelsen (Don Cockroft kick),3,28
5,4.0,Browns,Gary Collins 7 yard pass from Bill Nelsen (Don Cockroft kick),3,35
6,4.0,Cowboys,Calvin Hill 1 yard rush (Mike Clark kick),10,35
7,4.0,Browns,Chip Glass 10 yard pass from Bill Nelsen (Don Cockroft kick),10,42
