,Quarter,Tm,Detail,GNB,STL
0,2.0,Cardinals,Earl Ferrell 3 yard rush (Neil O'Donoghue kick),0,7
1,2.0,Cardinals,"Safety, Wright batted ball out of end zone",0,9
2,2.0,Cardinals,Ottis Anderson 1 yard rush (Neil O'Donoghue kick),0,16
3,2.0,Cardinals,Neil O'Donoghue 22 yard field goal,0,19
4,3.0,Cardinals,Stump Mitchell 39 yard pass from Neil Lomax (Neil O'Donoghue kick),0,26
5,3.0,Packers,Gerry Ellis 39 yard rush (Al Del Greco kick),7,26
6,3.0,Cardinals,Pat Tilley 11 yard pass from Neil Lomax (Neil O'Donoghue kick),7,33
7,4.0,Packers,James Lofton 10 yard pass from Lynn Dickey (Al Del Greco kick),14,33
8,4.0,Cardinals,Neil O'Donoghue 36 yard field goal,14,36
9,4.0,Packers,Paul Coffman 19 yard pass from Lynn Dickey (Al Del Greco kick),21,36
10,4.0,Cardinals,Roy Green 37 yard pass from Neil Lomax (Neil O'Donoghue kick),21,43
11,4.0,Packers,Paul Coffman 3 yard pass from Lynn Dickey (Al Del Greco kick),28,43
