,Quarter,Tm,Detail,DET,SFO
0,1.0,Lions,Pat Harder 13 yard field goal,3,0
1,2.0,Lions,Pat Harder 1 yard rush (Doak Walker kick),10,0
2,2.0,49ers,Billy Wilson 31 yard pass from Joe Perry (Gordie Soltau kick),10,7
3,2.0,49ers,Gordie Soltau 27 yard pass from Y.A. Tittle (Gordie Soltau kick),10,14
4,3.0,Lions,Leon Hart 28 yard pass from Bobby Layne (Doak Walker kick),17,14
5,4.0,49ers,Y.A. Tittle 1 yard rush (Gordie Soltau kick),17,21
