,Quarter,Tm,Detail,RAM,PHI
0,1,Eagles,Steve Van Buren 4 yard rush (Cliff Patton kick),0,7
1,3,Eagles,Tommy Thompson 1 yard rush (Cliff Patton kick),0,14
2,4,Rams,Bob Hoffman 1 yard rush (Bob Waterfield kick),7,14
