,Quarter,Tm,Detail,SEA,DEN
0,1.0,Seahawks,Efren Herrera 28 yard field goal,3,0
1,1.0,Seahawks,Dan Doornink 5 yard rush (Efren Herrera kick),10,0
2,2.0,Broncos,Jim Turner 27 yard field goal,10,3
3,2.0,Seahawks,Dan Doornink 5 yard rush (Efren Herrera kick),17,3
4,2.0,Broncos,Otis Armstrong 2 yard rush (Jim Turner kick),17,10
5,2.0,Seahawks,Efren Herrera 22 yard field goal,20,10
6,3.0,Seahawks,Sam McCullum 13 yard pass from Jim Zorn (Efren Herrera kick),27,10
7,3.0,Seahawks,Sherman Smith 1 yard rush (Efren Herrera kick),34,10
8,3.0,Broncos,Dave Studdard 2 yard pass from Craig Morton (Jim Turner kick),34,17
9,3.0,Broncos,Haven Moses 11 yard pass from Craig Morton (Jim Turner kick),34,24
10,3.0,Broncos,Rick Upchurch 35 yard pass from Craig Morton (Jim Turner kick),34,31
11,4.0,Broncos,Rob Lytle 1 yard rush (run failed),34,37
