,Quarter,Tm,Detail,SFO,OAK
0,1.0,49ers,Bruce Gossett 42 yard field goal,3,0
1,1.0,Raiders,Raymond Chester 29 yard pass from Daryle Lamonica (George Blanda kick),3,7
2,2.0,49ers,Ted Kwalick 26 yard pass from John Brodie (Bruce Gossett kick),10,7
3,2.0,49ers,Jimmy Johnson 36 yard interception return (Bruce Gossett kick),17,7
4,2.0,49ers,Gene Washington 34 yard pass from John Brodie (Bruce Gossett kick),24,7
5,4.0,49ers,Bill Tucker 28 yard pass from John Brodie (Bruce Gossett kick),31,7
6,4.0,49ers,Ken Willard 1 yard rush (Bruce Gossett kick),38,7
