,Quarter,Time,Tm,Detail,NYJ,MIA
0,1.0,,Dolphins,Karim Abdul-Jabbar 4 yard rush (Olindo Mare kick),0,7
1,2.0,,Jets,John Hall 29 yard field goal,3,7
2,2.0,,Jets,Kyle Brady 18 yard pass from Glenn Foley (John Hall kick),10,7
3,2.0,,Dolphins,Brett Perriman 23 yard pass from Dan Marino (Olindo Mare kick),10,14
4,3.0,,Dolphins,Karim Abdul-Jabbar 5 yard rush (Olindo Mare kick),10,21
5,4.0,,Dolphins,Olindo Mare 20 yard field goal,10,24
6,4.0,,Jets,Adrian Murrell 43 yard rush (John Hall kick),17,24
