,Quarter,Tm,Detail,BUF,STL
0,1.0,Cardinals,Neil O'Donoghue 23 yard field goal,0,3
1,1.0,Cardinals,Roy Green 4 yard pass from Neil Lomax (Neil O'Donoghue kick),0,10
2,1.0,Cardinals,Ottis Anderson 4 yard pass from Neil Lomax (Neil O'Donoghue kick),0,17
3,2.0,Cardinals,Ottis Anderson 2 yard rush (Neil O'Donoghue kick),0,24
4,3.0,Cardinals,Stump Mitchell 1 yard rush (Neil O'Donoghue kick),0,31
5,3.0,Bills,Preston Dennard 22 yard pass from Joe Ferguson (Joe Danelo kick),7,31
6,4.0,Cardinals,Neil O'Donoghue 21 yard field goal,7,34
7,4.0,Cardinals,Neil O'Donoghue 52 yard field goal,7,37
