,Quarter,Tm,Detail,CHI,SFO
0,1.0,Bears,Walter Payton 6 yard rush (Bob Thomas kick),7,0
1,1.0,49ers,Ray Wersching 28 yard field goal,7,3
2,2.0,49ers,Paul Hofer 27 yard pass from Steve DeBerg (Ray Wersching kick),7,10
3,2.0,Bears,Walter Payton 7 yard rush (Bob Thomas kick),14,10
4,2.0,49ers,Freddie Solomon 1 yard pass from Steve DeBerg (Ray Wersching kick),14,17
5,3.0,49ers,Ray Wersching 19 yard field goal,14,20
6,3.0,Bears,Walter Payton 7 yard rush (Bob Thomas kick),21,20
7,4.0,49ers,Freddie Solomon 6 yard pass from Steve DeBerg (Ray Wersching kick),21,27
8,4.0,Bears,James Scott 48 yard pass from Mike Phipps (Bob Thomas kick),28,27
