,Quarter,Tm,Detail,STL,DAL
0,1.0,Cowboys,Mike Renfro 18 yard pass from Danny White (Rafael Septien kick),0,7
1,1.0,Cardinals,Stump Mitchell 2 yard rush (Novo Bojovic kick),7,7
2,2.0,Cardinals,Novo Bojovic 38 yard field goal,10,7
3,2.0,Cowboys,Doug Cosbie 19 yard pass from Danny White (Rafael Septien kick),10,14
4,2.0,Cardinals,Roy Green 5 yard pass from Neil Lomax (Novo Bojovic kick),17,14
5,2.0,Cowboys,Tony Hill 16 yard pass from Danny White (Rafael Septien kick),17,21
6,3.0,Cowboys,Tony Hill 53 yard pass from Danny White (Rafael Septien kick),17,28
7,3.0,Cowboys,Tony Dorsett 3 yard rush (Rafael Septien kick),17,35
