,Quarter,Tm,Detail,TAM,NYG
0,2.0,Giants,Ali Haji-Sheikh 34 yard field goal,0,3
1,2.0,Giants,Bobby Johnson 20 yard pass from Phil Simms (Ali Haji-Sheikh kick),0,10
2,3.0,Buccaneers,James Wilder 1 yard rush (Obed Ariri kick),7,10
3,4.0,Giants,Zeke Mowatt 21 yard pass from Phil Simms (Ali Haji-Sheikh kick),7,17
4,4.0,Buccaneers,Adger Armstrong 1 yard rush (Obed Ariri kick),14,17
