,Quarter,Tm,Detail,CHI,TAM
0,1.0,Buccaneers,Eddie Murray 31 yard field goal,0,3
1,1.0,Buccaneers,Reggie Cobb 1 yard rush (Eddie Murray kick),0,10
2,2.0,Buccaneers,Eddie Murray 40 yard field goal,0,13
3,2.0,Buccaneers,Ron Hall 12 yard pass from Vinny Testaverde (Eddie Murray kick),0,20
4,3.0,Bears,Kevin Butler 27 yard field goal,3,20
5,4.0,Bears,Neal Anderson 1 yard rush (Kevin Butler kick),10,20
6,4.0,Bears,Neal Anderson 11 yard pass from Jim Harbaugh (Kevin Butler kick),17,20
