,Quarter,Tm,Detail,MIA,MIN
0,1.0,Vikings,John Gilliam 56 yard pass from Fran Tarkenton (Fred Cox kick),0,7
1,3.0,Dolphins,Garo Yepremian 38 yard field goal,3,7
2,3.0,Dolphins,Garo Yepremian 42 yard field goal,6,7
3,4.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),6,14
4,4.0,Dolphins,Garo Yepremian 51 yard field goal,9,14
5,4.0,Dolphins,Jim Mandich 3 yard pass from Bob Griese (Garo Yepremian kick),16,14
