,Quarter,Tm,Detail,MIA,STL
0,1.0,Dolphins,Uwe von Schamann 27 yard field goal,3,0
1,1.0,Dolphins,Uwe von Schamann 26 yard field goal,6,0
2,2.0,Dolphins,Joe Rose 26 yard pass from Dan Marino,12,0
3,2.0,Cardinals,Stump Mitchell 2 yard rush (Neil O'Donoghue kick),12,7
4,2.0,Dolphins,Pete Johnson 1 yard rush (Uwe von Schamann kick),19,7
5,2.0,Cardinals,Doug Marsh 22 yard pass from Neil Lomax (Neil O'Donoghue kick),19,14
6,2.0,Dolphins,Mark Clayton 29 yard pass from Dan Marino (Uwe von Schamann kick),26,14
7,3.0,Cardinals,Earl Ferrell 11 yard rush (Neil O'Donoghue kick),26,21
8,4.0,Dolphins,Tony Nathan 23 yard pass from Dan Marino (Uwe von Schamann kick),33,21
9,4.0,Dolphins,Uwe von Schamann 27 yard field goal,36,21
10,4.0,Cardinals,Stump Mitchell 4 yard rush (Neil O'Donoghue kick),36,28
