,Quarter,Time,Tm,Detail,SEA,CHI
0,1.0,4:55,Bears,Trey Burton 3 yard pass from Mitchell Trubisky (Cody Parkey kick),0,7
1,2.0,1:07,Bears,Cody Parkey 25 yard field goal,0,10
2,2.0,0:00,Seahawks,Sebastian Janikowski 56 yard field goal,3,10
3,4.0,14:15,Bears,Anthony Miller 10 yard pass from Mitchell Trubisky (Cody Parkey kick),3,17
4,4.0,10:13,Seahawks,Tyler Lockett 19 yard pass from Russell Wilson (Sebastian Janikowski kick),10,17
5,4.0,6:37,Bears,Prince Amukamara 49 yard interception return (Cody Parkey kick),10,24
6,4.0,0:14,Seahawks,Will Dissly 2 yard pass from Russell Wilson (Sebastian Janikowski kick),17,24
