,Quarter,Tm,Detail,PHI,NYG
0,2.0,Giants,Ken Strong 1 yard rush (Ken Strong kick),0,7
1,4.0,Giants,Ken Strong 10 yard field goal,0,10
2,4.0,Giants,Wee Willie Smith 23 yard rush (Ken Strong kick),0,17
